Parameters vs. Time
Time (min.)	AlignX	AlignY	Temperature(C)	Intensity
10.816050	-3.265222	14.394976	199.753769	1.422792	
10.870050	-3.123586	14.359539	200.609344	1.420674	
10.924084	-3.018129	14.552999	201.511322	1.411268	
10.978084	-2.952272	14.615781	202.410583	1.411512	
11.032117	-2.875193	14.776715	203.237259	1.406511	
11.086150	-2.858032	14.539062	204.153152	1.416045	
11.140117	-2.678545	14.763471	205.047256	1.405452	
11.194117	-2.592304	14.630775	205.907730	1.411525	
11.248116	-2.389121	14.500086	206.829742	1.417877	
11.301917	-2.165652	14.631824	207.654358	1.414271	
11.355717	-2.165720	15.023247	208.646729	1.394285	
11.409550	-2.155792	14.992749	209.447662	1.394707	
11.463550	-1.986394	15.062291	210.352097	1.392279	
11.517550	-1.880402	14.964164	211.226669	1.396877	
11.571550	-1.840352	14.970531	212.064911	1.393203	
11.625584	-1.804301	15.457167	212.901581	1.371945	
11.679584	-1.643992	15.189579	213.892548	1.383251	
11.733583	-1.493998	15.298593	214.738647	1.383410	
11.787617	-1.446196	15.198910	215.706665	1.388248	
11.841617	-1.287363	15.253683	216.552399	1.384237	
11.895617	-1.185580	14.956224	217.329163	1.391982	
11.949616	-1.273447	15.186444	218.242416	1.386274	
12.003650	-1.123567	15.532090	219.184021	1.370908	
12.057683	-1.172107	15.547609	220.033066	1.369662	
12.111484	-1.006240	15.925439	220.890045	1.350886	
12.165283	-0.884166	15.592522	221.748001	1.364578	
12.219216	-0.812042	15.674155	222.646027	1.359239	
12.273216	-0.789125	15.696136	223.616135	1.360716	
12.327250	-0.700938	15.737154	224.408173	1.357019	
12.381217	-0.697360	15.925818	225.276154	1.347999	
12.435217	-0.635049	15.650672	226.211243	1.364233	
12.489250	-0.552219	15.715979	227.058136	1.355386	
12.543050	-0.478449	15.953629	227.933853	1.347212	
12.596884	-0.372285	15.875710	228.806610	1.348447	
12.650717	-0.292310	15.966225	229.663544	1.340814	
12.704717	-0.315400	15.744780	230.577560	1.357812	
12.758683	-0.234520	16.134748	231.426788	1.335828	
12.812583	-0.195095	15.824733	232.431366	1.352873	
12.866650	-0.147694	16.347481	233.241394	1.323121	
