Dynamic Data
Time (min.)	AlignX	AlignY	Temperature(C)
9.129617	5.964632	4.373217	294.427887	
9.143416	6.026413	4.342817	294.811371	
9.157284	6.045426	4.383852	295.219849	
9.171150	6.050639	4.366803	295.695038	
9.185083	6.123889	4.366135	296.065582	
9.198750	3.832366	4.363565	296.448273	
9.212483	3.711399	4.362716	296.884491	
9.226350	1.506499	4.331660	297.336884	
9.240084	1.259975	4.293052	297.735321	
9.253883	-0.362693	4.353027	298.204987	
9.267750	-0.392089	4.392964	298.580566	
9.281616	-0.325540	4.302434	298.922272	
9.295350	-0.387158	6.420135	299.402863	
9.309016	-0.404203	7.390493	299.836487	
9.322884	-0.366060	3.531448	300.171539	
9.336550	-0.306111	2.572047	300.614502	
9.350417	-0.240754	1.675726	300.980988	
9.364284	-0.257889	0.337392	301.432068	
9.378150	-0.309875	0.338848	301.850372	
9.391817	-0.298390	0.371389	302.269287	
9.405550	-0.308419	0.226629	302.731537	
9.419416	-0.189357	0.142814	303.053192	
9.433084	-0.233631	0.203788	303.471619	
9.446883	-0.163345	0.203084	303.920776	
9.460750	-0.110083	0.242455	304.275391	
9.474684	-0.143885	0.264349	304.779083	
9.488350	-0.104716	0.231353	305.138336	
9.502084	-0.061671	0.316338	305.563812	
9.515950	-0.086284	0.345196	305.988220	
9.529616	-0.049992	0.405165	306.419189	
9.543484	0.001216	0.371935	306.798706	
9.557350	-0.007000	0.395279	307.238190	
9.571083	-0.065003	0.428514	307.622284	
9.584817	0.002341	0.458881	308.004639	
9.598683	0.030153	0.439390	308.445343	
9.612350	-0.009142	0.439447	308.917999	
9.626217	0.027207	0.426695	309.297363	
9.640083	0.078890	0.379809	309.791351	
9.654016	0.051509	0.436985	310.182495	
9.667684	0.058765	0.483678	310.601349	
9.681350	0.061812	0.497401	310.998962	
9.695217	0.076793	0.589741	311.421875	
9.708950	0.120265	0.487747	311.763397	
9.722616	0.111855	0.577354	312.202179	
9.736484	0.216571	0.602387	312.599213	
9.750417	0.175722	0.579935	313.004974	
9.764083	0.191071	0.584791	313.424652	
9.777750	0.208604	0.625633	313.867889	
9.791683	0.203453	0.664213	314.205261	
9.805350	0.244444	0.677985	314.703430	
9.819217	0.285543	0.705357	315.085266	
9.833083	0.251908	0.734870	315.498260	
9.846950	0.288050	0.722219	315.896698	
9.860617	0.337969	0.676271	316.313477	
9.874350	0.354510	0.798169	316.713745	
9.888217	0.326157	0.858317	317.139404	
9.901883	0.412661	0.836559	317.552155	
9.915617	0.454113	0.867650	317.950592	
9.929483	0.427935	0.879624	318.345764	
9.943350	0.472549	0.896036	318.831665	
9.957283	0.512716	0.937599	319.132507	
9.970950	0.483749	0.946821	319.662354	
9.984683	0.570095	0.928554	320.050690	
9.998550	0.546253	0.986902	320.430786	
10.012217	0.529301	0.992511	320.814484	
10.025950	0.580550	0.974747	321.273712	
10.039817	0.598574	1.005231	321.708374	
10.053683	0.587061	1.011566	322.121948	
10.067350	0.551062	1.024830	322.551849	
10.081150	0.606897	1.021015	322.966492	
10.095016	0.626505	1.089646	323.323029	
10.108684	0.623580	1.117818	323.726440	
10.122483	0.665861	1.105525	324.230133	
10.136350	0.676750	1.126199	324.594452	
10.150217	0.730485	1.175142	324.998108	
10.164083	0.725612	1.172710	325.459869	
10.177750	0.751880	1.152799	325.808380	
10.191483	0.775447	1.205414	326.238556	
10.205350	0.757938	1.194331	326.619354	
10.219017	0.836150	1.194224	327.047180	
10.325617	0.851858	1.394913	330.285278	
10.339550	0.884833	1.444722	330.718567	
10.353416	0.873303	1.475452	331.140106	
10.367150	0.914494	1.478980	331.540833	
10.380816	0.937060	1.479076	331.903198	
10.394683	0.980145	1.542251	332.337952	
10.408350	1.006396	1.516699	332.722168	
10.422216	0.989608	1.613907	333.128784	
10.436084	1.063141	1.603516	333.593353	
10.449950	1.058855	1.612789	334.021759	
10.463616	1.049276	1.609341	334.384003	
10.477283	1.088193	1.617287	334.823242	
10.491150	1.111230	1.637663	335.161652	
10.504884	1.095222	1.666492	335.629700	
10.518683	1.139064	1.733538	336.097900	
10.532550	1.182685	1.730074	336.487000	
10.546483	1.209429	1.716992	336.884827	
10.560150	1.163617	1.801640	337.259460	
10.573883	1.163382	1.778157	337.784515	
10.587750	1.226045	1.786397	338.120270	
10.601417	1.216285	1.823865	338.510986	
10.615216	1.244739	1.890566	338.902618	
10.629084	1.311613	1.894598	339.312866	
10.642950	1.299531	1.917264	339.766754	
10.656616	1.259672	1.970794	340.125214	
10.670283	1.281758	1.954070	340.556915	
10.684150	1.324302	1.980227	341.018433	
10.697884	1.356997	2.054902	341.440857	
10.711683	1.413498	2.068022	341.842743	
10.725550	1.379596	2.081771	342.273071	
10.739417	1.411798	2.166434	342.650024	
10.753150	1.438194	2.158531	343.104126	
10.766817	1.428984	2.171514	343.494751	
10.780684	1.436155	2.178611	343.903687	
10.794416	1.479851	2.193257	344.320557	
10.808217	1.511301	2.230778	344.685730	
10.822017	1.489001	2.233136	345.148743	
10.835950	1.516030	2.265112	345.563873	
10.849617	1.589417	2.334599	345.937378	
10.863283	1.571476	2.307918	346.377563	
10.877150	1.590625	2.300699	346.783875	
10.890883	1.621413	2.401676	347.219818	
10.904616	1.645375	2.368558	347.615997	
10.918484	1.588284	2.460041	348.053070	
10.932350	1.669054	2.456401	348.447174	
10.946217	1.710393	2.507782	348.877411	
10.959884	1.706108	2.487425	349.285461	
10.973617	1.718487	2.526107	349.669922	
10.987483	1.727970	2.564650	350.065674	
11.001150	1.763186	2.555900	350.479248	
11.014950	1.717192	2.599722	350.920471	
11.028816	1.768116	2.605599	351.355133	
11.042684	1.782540	2.672642	351.699188	
11.056350	1.845084	2.707403	352.144379	
11.070084	1.837899	2.742244	352.563232	
11.084017	1.825444	2.748205	352.995514	
11.097683	1.828142	2.767102	353.385406	
11.111484	1.811580	2.858768	353.784332	
11.125417	1.862059	2.878094	354.223755	
11.139283	1.868361	2.831172	354.616241	
11.153150	1.886685	2.874013	355.109863	
11.166883	1.938874	2.886462	355.491608	
11.180616	1.914009	2.913385	355.898407	
11.194484	1.956688	2.969942	356.369659	
11.208150	1.941306	2.958814	356.714355	
11.222016	1.976391	2.941025	357.143799	
11.235884	1.957723	2.981538	357.546112	
11.249750	2.009510	3.050213	357.927399	
11.263416	2.010993	2.976071	358.345367	
11.277150	2.018118	3.061965	358.772949	
11.291017	2.027120	3.049912	359.157257	
11.304684	2.006896	3.066143	359.594025	
11.318417	2.070354	3.110581	359.975983	
11.332283	2.032258	3.181570	360.397522	
11.346150	2.068818	3.136340	360.834015	
11.360084	2.074938	3.118828	361.307892	
11.373750	2.088096	3.191361	361.634918	
11.387484	2.118631	3.166765	362.042297	
11.401350	2.117712	3.207888	362.555145	
11.415017	2.115125	3.185353	362.956024	
11.428750	2.137618	3.201346	363.355835	
11.442616	2.133343	3.202508	363.736908	
11.456483	2.117695	3.223632	364.191437	
11.470150	2.150741	3.254375	364.564056	
11.483950	2.174098	3.236332	364.974182	
11.497817	2.202381	3.325218	365.368347	
11.511483	2.154685	3.298972	365.776947	
11.525217	2.186537	3.297356	366.263428	
11.539083	2.212446	3.327200	366.619843	
11.553017	2.219374	3.367060	367.022003	
11.566883	2.176364	3.396052	367.488983	
11.580617	2.246938	3.396377	367.889648	
11.594283	2.259511	3.430022	368.277100	
11.608150	2.280078	3.406963	368.682190	
11.621817	2.251750	3.460988	369.128235	
11.635550	2.283921	3.469743	369.570068	
11.649417	2.331398	3.481311	369.948120	
11.663350	2.325874	3.432540	370.341522	
11.677217	2.330989	3.493513	370.775696	
11.690884	2.331075	3.490565	371.223969	
11.704617	2.328436	3.552133	371.619873	
11.718483	2.365322	3.573869	372.019653	
11.732150	2.397166	3.567193	372.420105	
11.746017	2.416434	3.609969	372.862152	
11.759883	2.418523	3.573536	373.246155	
11.773750	2.457802	3.589409	373.687103	
11.787416	2.412401	3.623193	374.096985	
11.801084	2.426317	3.633825	374.446472	
11.814950	2.439908	3.680294	374.868622	
11.828617	2.373076	3.682681	375.308807	
11.842417	2.427892	3.683748	375.718231	
11.856283	2.459955	3.726527	376.116608	
11.870150	2.417964	3.735892	376.559662	
11.883883	2.503857	3.759840	376.991364	
11.897616	2.503109	3.779032	377.450500	
11.911484	2.533579	3.788901	377.821167	
11.925150	2.521572	3.813036	378.211151	
11.938884	2.500565	3.795290	378.613068	
11.952817	2.555543	3.803933	379.030701	
11.966683	2.532377	3.871577	379.446594	
11.980350	2.543254	3.801647	379.892609	
11.994017	2.540366	3.793228	380.323181	
12.007883	2.540260	3.785160	380.659332	
12.021684	2.537554	3.830856	381.105591	
12.035350	2.490577	3.902889	381.483673	
12.049283	2.569569	3.889324	381.915070	
12.063150	2.633259	3.889258	382.346863	
12.076817	2.550088	3.883195	382.704132	
12.090550	2.599754	3.887309	383.161530	
12.104417	2.627733	3.895867	383.601379	
12.118083	2.629168	3.933039	383.993195	
12.132017	2.646616	3.932786	384.419952	
12.145884	2.672195	3.936864	384.784546	
12.159750	2.631139	3.952298	385.232361	
12.173417	2.678876	3.959406	385.689117	
12.187083	2.709731	3.928321	386.091125	
12.200950	2.689029	3.944084	386.490234	
12.214684	2.664333	3.988803	386.843658	
12.228416	2.667552	4.006740	387.266815	
12.242283	2.679673	3.972368	387.701447	
12.256150	2.696210	4.007133	388.117676	
12.270017	2.663452	4.031852	388.522400	
12.283684	2.698413	4.014812	388.934509	
12.297417	2.681982	4.043487	389.378479	
12.311283	2.702128	4.029060	389.712860	
12.324950	2.767176	4.049181	390.190674	
12.338750	2.722287	4.060178	390.562744	
12.352616	2.780567	4.052988	391.007202	
12.366484	2.752762	4.056434	391.432770	
12.380150	2.759843	4.078457	391.835510	
12.393817	2.778080	4.087123	392.159882	
12.407683	2.797526	4.108276	392.675354	
12.421350	2.797020	4.100723	393.088623	
12.435217	2.827482	4.166612	393.504395	
12.449150	2.793247	4.199823	393.934937	
12.462816	2.839432	4.169183	394.273193	
12.476483	2.794707	4.160167	394.765167	
12.490350	2.867550	4.169087	395.133301	
12.504084	2.844306	4.184201	395.513489	
12.517950	2.882916	4.205712	395.955170	
12.531883	2.911480	4.175547	396.375000	
12.545550	2.904080	4.208179	396.822083	
12.559283	2.851891	4.231805	397.229401	
12.573150	2.913513	4.239094	397.597046	
12.586817	2.874774	4.269391	398.041656	
12.600550	2.894953	4.293056	398.445190	
12.614417	2.900976	4.226283	398.834625	
12.628284	2.938656	4.248764	399.360504	
12.642016	2.948670	4.287065	399.727234	
12.655684	2.988249	4.278142	400.061096	
12.669550	2.919745	4.319313	400.505463	
12.683217	2.925510	4.321579	400.913177	
12.697083	3.006816	4.371055	401.335175	
12.710950	2.992627	4.300589	401.774963	
12.724617	2.929888	4.322359	402.181458	
12.738417	2.966810	4.340662	402.603394	
12.752283	2.981285	4.394498	403.018066	
12.766017	2.994912	4.398797	403.431183	
12.779817	2.996770	4.417058	403.856476	
